ID,호선,역명,일시,공기질
1,2,강남,2022-01-01 00,0
2,2,강남,2022-01-01 01,1
3,2,강남,2022-01-01 02,0
4,2,강남,2022-01-01 03,0
5,2,강남,2022-01-01 04,0
6,2,강남,2022-01-01 05,0
7,2,강남,2022-01-01 06,0
8,2,강남,2022-01-01 07,0
9,2,강남,2022-01-01 08,0
10,2,강남,2022-01-01 09,0
11,2,강남,2022-01-01 10,0
12,2,강남,2022-01-01 11,0
13,2,강남,2022-01-01 12,0
14,2,강남,2022-01-01 13,0
15,2,강남,2022-01-01 14,0
16,2,강남,2022-01-01 15,0
17,2,강남,2022-01-01 16,1
18,2,강남,2022-01-01 17,1
19,2,강남,2022-01-01 18,1
20,2,강남,2022-01-01 19,0
21,2,강남,2022-01-01 20,1
22,2,강남,2022-01-01 21,1
23,2,강남,2022-01-01 22,0
24,2,강남,2022-01-01 23,0
25,2,강남,2022-01-02 00,0
26,2,강남,2022-01-02 01,0
27,2,강남,2022-01-02 02,0
28,2,강남,2022-01-02 03,0
29,2,강남,2022-01-02 04,0
30,2,강남,2022-01-02 05,0
31,2,강남,2022-01-02 06,1
32,2,강남,2022-01-02 07,1
33,2,강남,2022-01-02 08,1
34,2,강남,2022-01-02 09,1
35,2,강남,2022-01-02 10,1
36,2,강남,2022-01-02 11,1
37,2,강남,2022-01-02 12,1
38,2,강남,2022-01-02 13,1
39,2,강남,2022-01-02 14,1
40,2,강남,2022-01-02 15,1
41,2,강남,2022-01-02 16,0
42,2,강남,2022-01-02 17,0
43,2,강남,2022-01-02 18,0
44,2,강남,2022-01-02 19,0
45,2,강남,2022-01-02 20,0
46,2,강남,2022-01-02 21,0
47,2,강남,2022-01-02 22,0
48,2,강남,2022-01-02 23,0
49,2,강남,2022-01-03 00,0
50,2,강남,2022-01-03 01,0
51,2,강남,2022-01-03 02,0
52,2,강남,2022-01-03 03,0
53,2,강남,2022-01-03 04,0
54,2,강남,2022-01-03 05,0
55,2,강남,2022-01-03 06,0
56,2,강남,2022-01-03 07,1
57,2,강남,2022-01-03 08,1
58,2,강남,2022-01-03 09,1
59,2,강남,2022-01-03 10,1
60,2,강남,2022-01-03 11,0
61,2,강남,2022-01-03 12,1
62,2,강남,2022-01-03 13,0
63,2,강남,2022-01-03 14,0
64,2,강남,2022-01-03 15,0
65,2,강남,2022-01-03 16,0
66,2,강남,2022-01-03 17,0
67,2,강남,2022-01-03 18,0
68,2,강남,2022-01-03 19,0
69,2,강남,2022-01-03 20,1
70,2,강남,2022-01-03 21,0
71,2,강남,2022-01-03 22,0
72,2,강남,2022-01-03 23,0
73,2,강남,2022-01-04 00,1
74,2,강남,2022-01-04 01,1
75,2,강남,2022-01-04 02,1
76,2,강남,2022-01-04 03,1
77,2,강남,2022-01-04 04,1
78,2,강남,2022-01-04 05,1
79,2,강남,2022-01-04 06,1
80,2,강남,2022-01-04 07,1
81,2,강남,2022-01-04 08,1
82,2,강남,2022-01-04 09,1
83,2,강남,2022-01-04 10,1
84,2,강남,2022-01-04 11,1
85,2,강남,2022-01-04 12,1
86,2,강남,2022-01-04 13,1
87,2,강남,2022-01-04 14,1
88,2,강남,2022-01-04 15,1
89,2,강남,2022-01-04 16,1
90,2,강남,2022-01-04 17,1
91,2,강남,2022-01-04 18,1
92,2,강남,2022-01-04 19,1
93,2,강남,2022-01-04 20,1
94,2,강남,2022-01-04 21,1
95,2,강남,2022-01-04 22,1
96,2,강남,2022-01-04 23,1
97,2,강남,2022-01-05 00,1
98,2,강남,2022-01-05 01,1
99,2,강남,2022-01-05 02,1
100,2,강남,2022-01-05 03,1
101,2,강남,2022-01-05 04,1
102,2,강남,2022-01-05 05,1
103,2,강남,2022-01-05 06,1
104,2,강남,2022-01-05 07,1
105,2,강남,2022-01-05 08,1
106,2,강남,2022-01-05 09,1
107,2,강남,2022-01-05 10,1
108,2,강남,2022-01-05 11,1
109,2,강남,2022-01-05 12,1
110,2,강남,2022-01-05 13,1
111,2,강남,2022-01-05 14,1
112,2,강남,2022-01-05 15,1
113,2,강남,2022-01-05 16,1
114,2,강남,2022-01-05 17,1
115,2,강남,2022-01-05 18,1
116,2,강남,2022-01-05 19,1
117,2,강남,2022-01-05 20,1
118,2,강남,2022-01-05 21,1
119,2,강남,2022-01-05 22,1
120,2,강남,2022-01-05 23,1
121,2,강남,2022-01-06 00,1
122,2,강남,2022-01-06 01,1
123,2,강남,2022-01-06 02,1
124,2,강남,2022-01-06 03,1
125,2,강남,2022-01-06 04,1
126,2,강남,2022-01-06 05,1
127,2,강남,2022-01-06 06,1
128,2,강남,2022-01-06 07,1
129,2,강남,2022-01-06 08,1
130,2,강남,2022-01-06 09,1
131,2,강남,2022-01-06 10,1
132,2,강남,2022-01-06 11,1
133,2,강남,2022-01-06 12,1
134,2,강남,2022-01-06 13,1
135,2,강남,2022-01-06 14,1
136,2,강남,2022-01-06 15,1
137,2,강남,2022-01-06 16,1
138,2,강남,2022-01-06 17,1
139,2,강남,2022-01-06 18,1
140,2,강남,2022-01-06 19,1
141,2,강남,2022-01-06 20,1
142,2,강남,2022-01-06 21,1
143,2,강남,2022-01-06 22,1
144,2,강남,2022-01-06 23,1
145,2,강남,2022-01-07 00,1
146,2,강남,2022-01-07 01,1
147,2,강남,2022-01-07 02,1
148,2,강남,2022-01-07 03,1
149,2,강남,2022-01-07 04,1
150,2,강남,2022-01-07 05,1
151,2,강남,2022-01-07 06,1
152,2,강남,2022-01-07 07,1
153,2,강남,2022-01-07 08,1
154,2,강남,2022-01-07 09,1
155,2,강남,2022-01-07 10,1
156,2,강남,2022-01-07 11,1
157,2,강남,2022-01-07 12,1
158,2,강남,2022-01-07 13,1
159,2,강남,2022-01-07 14,1
160,2,강남,2022-01-07 15,1
161,2,강남,2022-01-07 16,1
162,2,강남,2022-01-07 17,1
163,2,강남,2022-01-07 18,1
164,2,강남,2022-01-07 19,1
165,2,강남,2022-01-07 20,1
166,2,강남,2022-01-07 21,1
167,2,강남,2022-01-07 22,1
168,2,강남,2022-01-07 23,0
169,2,강남,2022-01-08 00,1
170,2,강남,2022-01-08 01,1
171,2,강남,2022-01-08 02,1
172,2,강남,2022-01-08 03,1
173,2,강남,2022-01-08 04,1
174,2,강남,2022-01-08 05,1
175,2,강남,2022-01-08 06,1
176,2,강남,2022-01-08 07,1
177,2,강남,2022-01-08 08,1
178,2,강남,2022-01-08 09,1
179,2,강남,2022-01-08 10,1
180,2,강남,2022-01-08 11,1
181,2,강남,2022-01-08 12,1
182,2,강남,2022-01-08 13,1
