연번,수송일자,호선,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
1,2022-01-01,1호선,서울역,승차,120,137,211,439,592,878,1278,1508,1502,1323,1566,1686,1591,1358,1062,899,1327,814,234,
2,2022-01-01,1호선,서울역,하차,113,560,617,910,1232,1260,1028,1555,1264,1265,1329,1251,1126,884,764,654,728,416,131,
3,2022-01-01,2호선,잠실,승차,211,343,391,639,822,888,1371,1749,2003,2315,2807,3544,3571,3098,2664,3296,4207,1456,196,
4,2022-01-01,2호선,잠실,하차,56,410,558,1049,1607,1626,2238,2694,2937,2853,3414,3252,2711,2207,1391,1286,2080,1019,342,
5,2022-01-01,2호선,삼성,승차,99,143,177,202,241,245,392,587,709,780,1276,1636,1780,1719,1230,1686,1530,557,61,
6,2022-01-01,2호선,삼성,하차,36,357,415,714,855,720,1077,1278,1457,1367,1374,1250,1075,746,350,270,370,192,91,
7,2022-01-01,2호선,강남,승차,156,299,247,343,398,709,856,1155,1271,1389,1739,1947,2193,2122,1872,2801,4895,1599,330,
8,2022-01-01,2호선,강남,하차,109,425,557,864,1487,1240,1304,1733,2221,2060,2155,2835,2726,2011,1065,748,1008,623,199,
9,2022-01-01,2호선,사당,승차,193,262,353,498,640,711,799,966,1041,1207,1129,1233,1174,985,1018,1253,1356,486,130,
10,2022-01-01,2호선,사당,하차,54,566,252,390,656,808,790,1060,1007,968,1157,1391,1499,1214,893,842,1484,893,374,
11,2022-01-01,2호선,신림,승차,539,760,947,1571,1895,1732,2101,2214,2176,2185,2352,2350,2207,1536,1170,1268,1711,731,223,
12,2022-01-01,2호선,신림,하차,64,348,409,595,884,886,1104,1418,1721,1600,2092,2377,2733,2451,2173,2036,3456,2028,897,
13,2022-01-01,2호선,홍대입구,승차,169,273,298,416,533,630,1047,1478,1436,1869,2254,3076,3529,3205,3110,5272,7624,2287,427,
14,2022-01-01,2호선,홍대입구,하차,48,207,325,508,957,1300,2131,3593,4043,4436,4582,4740,4040,2772,1530,981,1214,760,391,
15,2022-01-01,4호선,서울역,승차,74,71,85,105,171,173,220,264,229,233,247,237,265,223,126,142,173,94,47,
16,2022-01-01,4호선,서울역,하차,19,189,249,293,435,417,341,500,464,496,449,504,517,433,388,339,420,205,79,
17,2022-01-01,4호선,사당,승차,163,186,254,355,513,611,729,791,855,894,836,797,823,633,504,706,723,265,89,
18,2022-01-01,4호선,사당,하차,25,279,134,232,371,426,541,620,656,638,735,789,922,661,466,502,740,469,237,
19,2022-01-01,7호선,건대입구,승차,53,75,93,138,184,161,250,264,346,377,448,495,591,478,461,584,823,328,94,
20,2022-01-01,7호선,건대입구,하차,23,92,85,195,272,294,366,470,626,688,636,731,617,481,310,212,250,157,92,
21,2022-01-02,1호선,서울역,승차,97,137,206,507,683,1045,1592,1883,2104,1439,2308,2029,2316,2131,2226,1803,2014,1593,472,
22,2022-01-02,1호선,서울역,하차,53,343,489,791,1013,1048,1187,1537,1448,1642,1724,1744,1624,1540,1296,1127,928,442,170,
23,2022-01-02,2호선,잠실,승차,149,308,413,797,1071,1156,1530,2085,2426,2892,3151,4175,4134,3561,3395,4683,4560,1338,204,
24,2022-01-02,2호선,잠실,하차,55,401,524,1204,2325,2136,2524,3141,3518,3511,3408,3525,2872,2464,1813,1774,2411,1058,314,
25,2022-01-02,2호선,삼성,승차,69,136,147,169,254,278,444,601,844,1064,1324,1797,1813,1977,1599,2440,1703,509,81,
26,2022-01-02,2호선,삼성,하차,37,389,492,999,1410,1159,1387,1474,1680,1541,1433,1412,1121,678,429,339,395,181,102,
27,2022-01-02,2호선,강남,승차,90,235,244,367,570,644,863,1299,1502,1676,2069,2433,2593,2417,2198,3266,4775,1470,287,
28,2022-01-02,2호선,강남,하차,85,392,466,830,1546,1407,1722,2229,2826,2478,2529,2838,2733,1909,1214,945,1139,562,186,
29,2022-01-02,2호선,사당,승차,149,210,294,507,747,738,948,1128,1171,1257,1253,1448,1400,1195,1120,1318,1349,460,174,
30,2022-01-02,2호선,사당,하차,30,514,269,441,842,853,859,1114,1319,1137,1322,1557,1688,1388,1235,1194,1711,893,330,
31,2022-01-02,2호선,신림,승차,378,701,969,1704,2213,2036,2027,2332,2348,2366,2248,2434,2224,1654,1202,1517,1585,672,197,
32,2022-01-02,2호선,신림,하차,45,296,361,524,959,1123,1466,1639,1938,1955,2304,2716,2942,2839,2529,2569,3953,1912,1010,
33,2022-01-02,2호선,홍대입구,승차,149,205,254,437,557,736,974,1440,1591,2060,2403,3149,3636,3636,3655,5780,7094,1721,281,
34,2022-01-02,2호선,홍대입구,하차,46,173,249,462,1022,1543,2760,3936,4387,4744,4566,4501,3966,2619,1394,1039,1269,649,393,
35,2022-01-02,4호선,서울역,승차,48,63,85,158,172,189,205,254,247,196,271,231,276,245,174,152,183,87,35,
36,2022-01-02,4호선,서울역,하차,9,89,167,222,392,415,346,524,497,554,565,590,692,543,507,431,497,191,93,
37,2022-01-02,4호선,사당,승차,128,153,216,418,644,731,733,921,986,1007,946,892,843,673,593,783,704,284,69,
38,2022-01-02,4호선,사당,하차,12,306,136,246,440,501,557,700,733,836,877,1064,1070,865,775,777,908,444,221,
39,2022-01-02,7호선,건대입구,승차,41,41,77,168,192,231,226,307,330,406,576,612,612,603,515,937,842,315,90,
40,2022-01-02,7호선,건대입구,하차,20,96,93,185,362,376,450,531,627,796,655,681,724,469,370,269,316,161,99,
41,2022-01-03,1호선,서울역,승차,312,433,1782,2545,1708,1330,1619,1792,1867,1695,2207,2533,4364,7854,3031,2163,2277,813,248,
42,2022-01-03,1호선,서울역,하차,273,1638,3863,8088,4363,1791,1435,1582,1592,1347,1454,1434,1854,2252,1306,811,907,367,185,
43,2022-01-03,2호선,잠실,승차,373,1641,4442,6074,4424,2604,2061,2316,2451,2505,2868,3430,5059,7103,4274,4470,3829,1180,293,
44,2022-01-03,2호선,잠실,하차,167,1222,2642,6732,4861,2784,2419,2614,2506,2633,2871,3316,4696,7941,5392,3047,3475,1546,494,
45,2022-01-03,2호선,삼성,승차,122,227,491,748,771,718,966,1040,1417,1765,2464,3063,6949,13097,6369,4508,3555,1104,203,
46,2022-01-03,2호선,삼성,하차,195,1480,5269,14627,9493,3097,1788,1803,1743,1586,1458,1323,1437,1710,911,500,530,230,121,
47,2022-01-03,2호선,강남,승차,158,498,1391,2679,1807,1645,2354,2723,3565,3893,4788,5368,8955,14257,8801,7274,8744,3418,542,
48,2022-01-03,2호선,강남,하차,409,2021,6308,13541,14414,5988,3384,3537,4196,3442,3503,3402,4255,5874,2916,1369,1416,612,291,
49,2022-01-03,2호선,사당,승차,372,863,2755,4130,2706,1237,1144,1336,1320,1271,1383,1589,2099,3642,1892,1769,2132,761,206,
50,2022-01-03,2호선,사당,하차,139,868,1704,2798,1622,1109,1245,1094,1303,1289,1739,2148,3353,5232,3877,2211,2287,1180,494,
51,2022-01-03,2호선,신림,승차,1407,2750,8411,12797,6617,2740,2107,2199,2181,1967,2100,2164,2557,2813,1618,1499,1572,769,211,
