일시,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
2022-01-01 0:00,-8.5,,1.9,41,1.3,-19.4,1021.9,1033.2,,,,-7,-1,-1,-0.2,1
2022-01-01 1:00,-9.2,,1.8,42,1.3,-19.7,1022.2,1033.6,,,,-7.2,-1.1,-1.1,-0.2,1
2022-01-01 2:00,-9.5,,1.2,43,1.3,-19.7,1022.3,1033.7,,,,-7.5,-1.3,-1.2,-0.2,1
2022-01-01 3:00,-9.3,,1.4,46,1.4,-18.8,1022.6,1034,,,,-7.6,-1.4,-1.2,-0.2,1
2022-01-01 4:00,-9.6,,1.7,48,1.4,-18.5,1021.9,1033.3,,,,-7.6,-1.4,-1.3,-0.3,1
2022-01-01 5:00,-9.7,,0.8,51,1.5,-17.9,1022,1033.4,,,,-7.7,-1.5,-1.4,-0.3,1
2022-01-01 6:00,-9.8,,1.9,53,1.5,-17.6,1021.7,1033.1,,,,-7.6,-1.6,-1.4,-0.3,0.9
2022-01-01 7:00,-10.1,,1.9,55,1.6,-17.4,1021.6,1033,,,,-7.6,-1.6,-1.5,-0.3,0.9
2022-01-01 8:00,-10.2,,2.5,56,1.6,-17.3,1021.8,1033.2,0,0,,-7.4,-1.7,-1.5,-0.3,0.9
2022-01-01 9:00,-9.1,,2.1,56,1.7,-16.2,1021.9,1033.3,1,0.3,,-6.4,-1.7,-1.6,-0.4,0.9
2022-01-01 10:00,-6.8,,2.3,42,1.6,-17.5,1022.4,1033.7,1,0.84,,-3.1,-1.5,-1.5,-0.4,0.9
2022-01-01 11:00,-4.3,,0.9,37,1.6,-16.8,1022.3,1033.5,1,1.37,,-0.4,-1.2,-1.4,-0.4,0.9
2022-01-01 12:00,-2.3,,1.2,34,1.8,-16,1021.4,1032.5,1,1.7,,3,-0.9,-1.2,-0.4,0.8
2022-01-01 13:00,-0.1,,1.5,32,1.9,-14.8,1020.3,1031.3,1,1.82,,5.5,-0.6,-1.1,-0.4,0.8
2022-01-01 14:00,1.3,,2.2,32,2.1,-13.6,1019.1,1030,1,1.73,,5.1,-0.4,-0.9,-0.4,0.8
